k core decomposition for the largest connected component
k =	184	number of nodes: 	10
k =	185	number of nodes: 	9
k =	186	number of nodes: 	9
k =	187	number of nodes: 	9
k =	188	number of nodes: 	9
k =	189	number of nodes: 	9
k =	190	number of nodes: 	9
k =	191	number of nodes: 	9
k =	192	number of nodes: 	9
k =	193	number of nodes: 	9
k =	194	number of nodes: 	9
k =	195	number of nodes: 	9
k =	196	number of nodes: 	9
k =	197	number of nodes: 	9
k =	198	number of nodes: 	9
k =	199	number of nodes: 	9
k =	200	number of nodes: 	9
k =	201	number of nodes: 	9
k =	202	number of nodes: 	9
k =	203	number of nodes: 	9
k =	204	number of nodes: 	9
k =	205	number of nodes: 	9
k =	206	number of nodes: 	9
k =	207	number of nodes: 	9
k =	208	number of nodes: 	9
k =	209	number of nodes: 	9
k =	210	number of nodes: 	9
k =	211	number of nodes: 	9
k =	212	number of nodes: 	9
k =	213	number of nodes: 	9
k =	214	number of nodes: 	9
k =	215	number of nodes: 	9
k =	216	number of nodes: 	8
k =	217	number of nodes: 	8
k =	218	number of nodes: 	8
k =	219	number of nodes: 	8
k =	220	number of nodes: 	8
k =	221	number of nodes: 	8
k =	222	number of nodes: 	8
k =	223	number of nodes: 	8
k =	224	number of nodes: 	8
k =	225	number of nodes: 	8
k =	226	number of nodes: 	8
k =	227	number of nodes: 	8
k =	228	number of nodes: 	8
k =	229	number of nodes: 	8
k =	230	number of nodes: 	8
k =	231	number of nodes: 	8
k =	232	number of nodes: 	8
k =	233	number of nodes: 	8
k =	234	number of nodes: 	8
k =	235	number of nodes: 	8
k =	236	number of nodes: 	8
k =	237	number of nodes: 	8
k =	238	number of nodes: 	8
k =	239	number of nodes: 	8
k =	240	number of nodes: 	8
k =	241	number of nodes: 	8
k =	242	number of nodes: 	6
k =	243	number of nodes: 	6
k =	244	number of nodes: 	6
k =	245	number of nodes: 	6
k =	246	number of nodes: 	6
k =	247	number of nodes: 	6
k =	248	number of nodes: 	6
k =	249	number of nodes: 	6
k =	250	number of nodes: 	6
k =	251	number of nodes: 	6
k =	252	number of nodes: 	6
k =	253	number of nodes: 	6
k =	254	number of nodes: 	6
