node,centrality,betweenness,closeness,pagerank
96075778,0.00033233632436025255,0.0,0.21201135872227933,9.972665471378879e-05
2888302602,0.0013293452974410102,2.972191908957033e-07,0.22329362020246843,0.00010908559391946342
18956303,0.0026586905948820204,0.0,0.24037471290021858,9.972665471378879e-05
3962265616,0.01661681621801263,2.371776069442165e-05,0.2880395838235712,0.00039916911681691817
6815762,0.002326354270521768,1.9636299085583156e-06,0.23445414717029617,0.00010771735057470693
47407124,0.003988035892323031,0.00011717880034829901,0.2650222611291319,0.00024725634315847305
2694873111,0.0026586905948820204,2.1529525982642037e-06,0.22952935753206624,0.00015636586834810213
2223669272,0.0006646726487205051,0.0,0.2505946179122676,9.972665471378879e-05
1481924634,0.014955134596211365,0.0003019599762661773,0.24345187232892437,0.0004357893486657935
15585285,0.042539049518112326,0.0,0.0,0.0015159206290250025
20660256,0.003988035892323031,0.0,0.0,0.0002880800156379911
1971060774,0.002326354270521768,9.026735761367619e-05,0.1928678245075676,0.0003300604815591512
416743464,0.04054503157195081,0.0004741797609115091,0.3049038368764674,0.0008409681633519393
2679726122,0.0006646726487205051,5.0361312691314004e-08,0.20363678454823167,0.0001010503691143973
1931960364,0.05284147557328016,0.0017412594252523585,0.319109349870712,0.0011660668485240396
785629231,0.0016616816218012627,2.4552565963430544e-06,0.2584637392171312,0.00011327198925282748
2479865904,0.008640744433366567,0.0002918580875861857,0.25758329317810297,0.00015294165505871362
1322663994,0.003655699567962778,8.646259642176772e-09,0.00033233632436025255,0.00012833412066825804
2546810941,0.017613825191093384,0.00010768178679941712,0.27832800186014395,0.00031259390549748017
109009589,0.015952143569292122,6.69930262098217e-05,0.28612135441714814,0.0003366771022891027
832936784,0.005982053838484546,0.00046574550719047814,0.2311289630314339,0.00017266614669697846
1969627202,0.003655699567962778,3.1110495346112956e-05,0.1923127787511381,0.00035880857926912286
2369126468,0.010967098703888335,2.4623207398157724e-05,0.29042921933232413,0.00019887353744196047
14327878,0.025922233300099698,0.0009448508981183274,0.2849139093645965,0.00044724093129625225
103429473,0.013625789298770355,4.1180325988708956e-05,0.2707151351330514,0.000320788356655928
4423098439,0.004652708541043536,2.6508397828127635e-06,0.25723279203076577,0.00017613783968826725
